sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
18917227,TUVALU,-1,,1.0,APPROVED,4320313,Tuvala,SNOMED,Observation,S,0,1,Location,223629007,19700101,20991231,
18916459,GUYANA,-1,,1.0,APPROVED,4075646,Guyana,SNOMED,Observation,S,0,1,Location,223719008,19700101,20991231,
18916522,MALI,-1,,1.0,APPROVED,4072755,Mali,SNOMED,Observation,S,0,1,Location,223563002,19700101,20991231,
18917231,UZBEKISTAN,-1,,1.0,APPROVED,4329577,Uzbekistan,SNOMED,Observation,S,0,1,Location,223579001,19700101,20991231,
446994110,CURACAO,-1,,1.0,APPROVED,4319289,Curacao,SNOMED,Observation,S,0,2,Location,223370001,19700101,20991231,
18916462,HAITI,-1,,1.0,APPROVED,4072761,Haiti,SNOMED,Observation,S,0,1,Location,223705008,19700101,20991231,
18916524,MARSHALL ISLANDS,-1,,0.7329930663108826,APPROVED,40479978,Republic of the Marshall Islands,SNOMED,Observation,S,0,1,Location,441608000,20090731,20991231,
20750948,1599,-1,,0.0,UNCHECKED,0,Unmapped,,,,0,0,,,,,
18916525,MARTINIQUE,-1,,0.7220000624656677,APPROVED,4073035,Martinique island,SNOMED,Observation,S,0,1,Location,223390005,19700101,20991231,
18917232,VIRGIN ISLANDS (UNITED STATES),-1,,0.6847251653671265,APPROVED,4072461,US Virgin island,SNOMED,Observation,S,3,1,Location,224004008,19700101,20991231,
18916463,HOLY SEE,-1,,0.2575590908527374,UNCHECKED,4225167,Tennessee,SNOMED,Observation,S,0,1,Location,420941001,19700101,20991231,
446994038,"CENTRAL AMERICA, NFD",-1,,0.3673211932182312,APPROVED,4320297,Central American country,SNOMED,Observation,S,7,1,Location,223689009,19700101,20991231,
18916528,MAURITANIA,-1,,1.0,APPROVED,4072756,Mauritania,SNOMED,Observation,S,0,1,Location,223564008,19700101,20991231,
18916466,HONDURAS,-1,,1.0,APPROVED,4075638,Honduras,SNOMED,Observation,S,0,1,Location,223694009,19700101,20991231,
18917236,WALLIS AND FUTUNA,-1,,0.795256495475769,APPROVED,4075069,Wallis and Futuna islands,SNOMED,Observation,S,0,2,Location,223410008,19700101,20991231,
18916531,MAYOTTE,-1,,1.0,APPROVED,37396222,Mayotte,SNOMED,Observation,S,0,1,Location,715953005,20160731,20991231,
20729650,966,-1,,0.0,UNCHECKED,0,Unmapped,,,,0,0,,,,,
18916470,ICELAND,-1,,1.0,APPROVED,4330436,Iceland,SNOMED,Observation,S,0,1,Location,223667005,19700101,20991231,
18916536,MEXICO,-1,,1.0,APPROVED,4075636,Mexico,SNOMED,Observation,S,0,1,Location,223687006,19700101,20991231,
18917237,WESTERN SAHARA,-1,,0.5589030981063843,UNCHECKED,4254653,Sub-Saharan Africa,SNOMED,Observation,S,0,1,Location,409988000,19700101,20991231,
21800358,930,-1,,0.0,UNCHECKED,0,Unmapped,,,,0,0,,,,,
18916473,INADEQUATELY DESCRIBED,-1,,0.24174991250038147,UNCHECKED,4071846,Equatorial Guinea,SNOMED,Observation,S,0,1,Location,223556002,19700101,20991231,
18916434,GREENLAND,-1,,0.4663175940513611,APPROVED,4330435,Denmark,SNOMED,Observation,S,0,1,Location,223663009,19700101,20991231,
18917239,YEMEN,-1,,0.5507646203041077,APPROVED,4320311,Yemen Arab Republic,SNOMED,Observation,S,0,1,Location,223619000,19700101,20991231,
18917241,ZAMBIA,-1,,1.0,APPROVED,4071838,Zambia,SNOMED,Observation,S,0,1,Location,223531008,19700101,20991231,
446993073,"SERBIA AND MONTENEGRO, NFD",-1,,0.46778979897499084,UNCHECKED,40483631,Montenegro,SNOMED,Observation,S,0,1,Location,442522008,20090731,20991231,
